Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
1996,NBA,New York Knicks*,57,25,0.695,2,3.31,90.5,0.4,104.4,,101,,Lost E. Conf. Semis,J. Van Gundy (57,P. Ewing (9.8)
1995,NBA,New York Knicks*,47,35,0.573,2,2.24,91,,106,,103.5,,Lost E. Conf. Semis,D. Nelson (34,A. Mason (11.3)
1994,NBA,New York Knicks*,55,27,0.671,2,2.78,91.2,,107.2,,103.8,,Lost E. Conf. Semis,P. Riley (55,P. Ewing (9.6)
1993,NBA,New York Knicks*,57,25,0.695,1,6.48,92.8,,105.7,,98.2,,Lost Finals,P. Riley (57,P. Ewing (13.1)
1992,NBA,New York Knicks*,60,22,0.732,1,5.87,94.5,,106.1,,99.7,,Lost E. Conf. Finals,P. Riley (60,P. Ewing (10.6)
1991,NBA,New York Knicks*,51,31,0.622,2,3.67,92.9,,108.3,0.1,104.2,,Lost E. Conf. Semis,P. Riley (51,P. Ewing (13.0)
1990,NBA,New York Knicks*,39,43,0.476,3,,95,,107.1,,107.3,,Lost E. Conf. 1st Rnd.,S. Jackson (7,P. Ewing (10.0)
1989,NBA,New York Knicks*,45,37,0.549,3,0.78,98.2,,109.4,1.3,108,,Lost E. Conf. Semis,S. Jackson (45,P. Ewing (13.5)
1988,NBA,New York Knicks*,52,30,0.634,1,3.62,104.4,3.8,111.1,3.3,107.5,,Lost E. Conf. Semis,R. Pitino (52,P. Ewing (10.9)
1987,NBA,New York Knicks*,38,44,0.463,3,0.14,99.1,,105.9,,106.4,,Lost E. Conf. 1st Rnd.,R. Pitino (38,P. Ewing (8.1)
1986,NBA,New York Knicks,24,58,0.293,5,,98.5,,104.8,,111.1,2.8,,H. Brown (4,B. Cartwright (5.8)
1985,NBA,New York Knicks,23,59,0.28,5,,98.6,,99.5,,105.2,,,H. Brown (23,T. Tucker (4.0)
1984,NBA,New York Knicks,24,58,0.293,5,,99.5,,104.9,,109.6,1.7,,H. Brown (24,B. King (7.1)
1983,NBA,New York Knicks*,47,35,0.573,3,3.79,99,,107,,103.1,,Lost E. Conf. Semis,H. Brown (47,B. King (12.1)
1982,NBA,New York Knicks*,44,38,0.537,4,2.58,97,,102.4,,99.9,,Lost E. Conf. Semis,H. Brown (44,B. Cartwright (10.1)
1981,NBA,New York Knicks,33,49,0.402,5,,99.5,,106,,108.6,1.7,,R. Holzman (33,M. Lucas (7.4)
1980,NBA,New York Knicks*,50,32,0.61,3,2,101,,106,0.5,104.4,,Lost E. Conf. 1st Rnd.,R. Holzman (50,B. Cartwright (10.0)
1979,NBA,New York Knicks,39,43,0.476,4,,106.5,3.4,106.5,1.2,107.5,2.2,,R. Holzman (39,B. Cartwright (9.7)
1978,NBA,New York Knicks,31,51,0.378,4,,104.9,,102.2,,105.4,1.6,,W. Reed (6,T. Knight (5.7)
1977,NBA,New York Knicks*,43,39,0.524,2,,109.7,3,101.7,0.8,102.2,1.3,Lost E. Conf. Semis,W. Reed (43,B. McAdoo (10.9)
1976,NBA,New York Knicks,40,42,0.488,3,0.01,108.1,1.6,100.1,0.6,100.1,0.6,,R. Holzman (40,B. McAdoo (7.9)
1975,NBA,New York Knicks,38,44,0.463,4,,104.1,,98,,99.2,0.9,,R. Holzman (38,E. Monroe (7.2)
1974,NBA,New York Knicks*,40,42,0.488,3,,103.1,,97.1,,98.3,0.6,Lost E. Conf. 1st Rnd.,R. Holzman (40,W. Frazier (10.8)
1973,NBA,New York Knicks*,49,33,0.598,2,2.42,103.5,,97.4,,94.7,,Lost E. Conf. Finals,R. Holzman (49,W. Frazier (10.9)
1972,NBA,New York Knicks*,57,25,0.695,2,6.07,105.9,,98.9,2.1,92.5,,Won Finals,R. Holzman (57,W. Frazier (13.0)
1971,NBA,New York Knicks*,48,34,0.585,2,2.28,108,,98.5,0.6,96.3,,Lost Finals,R. Holzman (48,W. Frazier (14.5)
1970,NBA,New York Knicks*,52,30,0.634,1,5.05,112.2,,97.8,0.6,93.3,,Lost E. Conf. Finals,R. Holzman (52,W. Frazier (15.6)
1969,NBA,New York Knicks*,60,22,0.732,1,8.42,114.3,,100.3,1.3,92.4,,Won Finals,R. Holzman (60,W. Frazier (15.0)
1968,NBA,New York Knicks*,54,28,0.659,3,5.48,112.4,,98.4,2.9,93.3,,Lost E. Div. Finals,R. Holzman (54,W. Reed (14.7)
1967,NBA,New York Knicks*,43,39,0.524,3,1.78,117.2,,98.1,1.3,96.5,,Lost E. Div. Semis,D. McGuire (15,W. Bellamy (11.1)
1966,NBA,New York Knicks*,36,45,0.444,4,,118.5,,97.9,1.8,100.5,4.4,Lost E. Div. Semis,D. McGuire (36,W. Bellamy (8.8)
1965,NBA,New York Knicks,30,50,0.375,4,,118.9,,97.8,2.9,99.9,5,,H. Gallatin (6,W. Bellamy (8.9)
1964,NBA,New York Knicks,31,49,0.388,4,,113.5,,93.2,,96.4,2.8,,E. Donovan (12,W. Reed (5.5)
1963,NBA,New York Knicks,22,58,0.275,4,,117.1,3.9,95.4,0.8,101.2,6.6,,E. Donovan (22,B. McGill (4.5)
1962,NBA,New York Knicks,21,59,0.263,4,,117.5,2.5,93.5,,99.7,3.8,,E. Donovan (21,R. Guerin (7.2)
1961,NBA,New York Knicks,29,51,0.363,4,,125.6,4.3,91.2,,95,1.4,,E. Donovan (29,R. Guerin (12.1)
1960,NBA,New York Knicks,21,58,0.266,4,,122.9,,91.9,,97.1,5,,C. Braun (21,W. Naulls (5.7)
1959,NBA,New York Knicks,27,48,0.36,4,,125.9,3.6,93,1.9,94.9,3.8,,A. Levane (8,K. Sears (8.8)
1958,NBA,New York Knicks*,40,32,0.556,2,0.49,118,6,93,2.8,92.7,2.5,Lost E. Div. Semis,A. Levane (40,K. Sears (13.3)
1957,NBA,New York Knicks,35,37,0.486,4,1.35,121.5,4.5,91.7,2.9,90.8,2,,V. Boryla (35,K. Sears (10.0)
1956,NBA,New York Knicks,36,36,0.5,4,0.07,110.5,5.6,90.6,1.7,90.7,1.8,,V. Boryla (36,H. Gallatin (8.1)
1955,NBA,New York Knicks*,35,37,0.486,4,,106.5,3.7,92.4,2.1,92.8,2.5,Lost E. Div. Third Place Tiebreaker,J. Lapchick (26,K. Sears (6.2)
1954,NBA,New York Knicks*,38,34,0.528,2,0.11,101.8,3.7,90.2,0.4,90.1,0.3,Lost E. Div. Semis,J. Lapchick (38,H. Gallatin (8.3)
1953,NBA,New York Knicks*,44,28,0.611,1,,87.4,3.8,89.3,1.8,89.4,1.9,Eliminated in E. Div. Rnd. Robin,J. Lapchick (44,H. Gallatin (11.8)
1952,NBA,New York Knicks*,47,23,0.671,1,4.39,93.1,12.6,90.5,2.5,85,,Lost Finals,J. Lapchick (47,H. Gallatin (11.3)
1951,NBA,New York Knicks*,37,29,0.561,3,0.67,94.9,9.1,88.7,1.8,87.9,1,Lost Finals,J. Lapchick (37,H. Gallatin (8.9)
1950,NBA,New York Knicks*,36,30,0.545,3,0.49,94.8,9.3,88,2.9,87.6,2.5,Lost Finals,J. Lapchick (36,H. Gallatin (7.6)
1949,NBA,New York Knicks*,40,28,0.588,2,2.53,,,,,,,Lost E. Div. Finals,J. Lapchick (40,H. Gallatin (7.8)
1948,BAA,New York Knicks*,32,28,0.533,2,1.24,,,,,,,Lost E. Div. Finals,J. Lapchick (32,B. Palmer (7.2)
1947,BAA,New York Knicks*,26,22,0.542,2,2.3,,,,,,,Lost Quarterfinals,J. Lapchick (26,B. Palmer (7.4)
1946,BAA,New York Knicks*,33,27,0.55,3,0.58,,,,,,,Lost Semis,N. Cohalan (33,O. Schectman (4.3)
2017,NBA,Philadelphia 76ers,15,19,0.441,4,,100.8,3.7,105.8,,106.8,,,B. Brown (15,J. Embiid (2.6)
2016,NBA,Philadelphia 76ers,28,54,0.341,4,,98.5,2.1,103.2,,108.9,0.1,,B. Brown (28,T. McConnell (3.8)
2015,NBA,Philadelphia 76ers,10,72,0.122,5,,97.9,2.1,98.8,,109.2,2.8,,B. Brown (10,N. Noel (3.0)
2014,NBA,Philadelphia 76ers,18,64,0.22,4,,95.7,1.8,95.5,,104.8,,,B. Brown (18,N. Noel (4.0)
2013,NBA,Philadelphia 76ers,19,63,0.232,5,,99.2,5.3,99.4,,109.9,3.2,,B. Brown (19,T. Young (3.5)
2012,NBA,Philadelphia 76ers,34,48,0.415,4,,91,,102,,105.7,,,D. Collins (34,T. Young (7.4)
2011,NBA,Philadelphia 76ers*,35,31,0.53,3,3.59,89.7,,103.9,,99.2,,Lost E. Conf. Semis,D. Collins (35,A. Iguodala (7.3)
2010,NBA,Philadelphia 76ers*,41,41,0.5,3,1.01,91.7,,106.6,,105,,Lost E. Conf. 1st Rnd.,D. Collins (41,E. Brand (9.4)
2009,NBA,Philadelphia 76ers,27,55,0.329,4,,91.6,,106.1,,110.3,2.7,,E. Jordan (27,A. Iguodala (6.7)
2008,NBA,Philadelphia 76ers*,41,41,0.5,2,0.16,90,,107.9,,107.8,,Lost E. Conf. 1st Rnd.,M. Cheeks (9,A. Iguodala (9.2)
2007,NBA,Philadelphia 76ers*,40,42,0.488,3,0.19,90.4,,106.4,,106,,Lost E. Conf. 1st Rnd.,M. Cheeks (40,A. Iguodala (9.6)
2006,NBA,Philadelphia 76ers,35,47,0.427,3,,90.7,,103.6,,106.9,0.4,,M. Cheeks (35,A. Iguodala (7.7)
2005,NBA,Philadelphia 76ers,38,44,0.463,2,,92.7,2.2,106,,108.1,1.9,,M. Cheeks (38,A. Iverson (10.6)
